,Unnamed: 0,Y house price of unit area,X3 distance to the nearest MRT station,X2 house age
247,247,23.1,1055.067,21.7
248,248,22.3,1009.235,19.0
249,249,15.0,6306.153,18.0
250,250,30.0,424.7132,39.2
251,251,13.8,1159.454,31.7
252,252,52.7,90.45606,5.9
253,253,25.9,1735.595,30.4
254,254,51.8,329.9747,1.1
255,255,17.4,5512.038000000001,31.5
256,256,26.5,339.2289,14.6
257,257,43.9,444.1334,17.3
258,258,63.3,292.9978,0.0
259,259,28.8,837.7233,17.7
260,260,30.7,1485.0970000000002,17.0
261,261,24.4,2288.011,16.2
262,262,53.0,289.3248,15.9
263,263,31.7,2147.376,3.9
264,264,40.6,493.657,32.6
265,265,38.1,815.9314,15.7
266,266,23.7,1783.18,17.8
267,267,41.1,482.7581,34.7
268,268,40.1,390.5684,17.2
269,269,23.0,837.7233,17.6
270,270,117.5,252.5822,10.8
271,271,26.5,451.6419,17.7
272,272,40.5,492.2313,13.0
273,273,29.3,170.1289,13.2
274,274,41.0,394.0173,27.5
275,275,49.7,23.382839999999998,1.5
276,276,34.0,461.1016,19.1
277,277,27.7,2185.1279999999997,21.2
278,278,44.0,208.3905,0.0
279,279,31.1,1554.25,2.6
280,280,45.4,184.3302,2.3
281,281,44.8,387.7721,4.7
282,282,25.6,1455.7979999999998,2.0
283,283,23.5,1978.671,33.5
284,284,34.4,383.2805,15.0
285,285,55.3,718.2937,30.1
286,286,56.3,90.45606,5.9
287,287,32.9,461.1016,19.2
288,288,51.0,323.6912,16.6
289,289,44.5,289.3248,13.9
290,290,37.0,490.3446,37.7
291,291,54.4,56.47425,3.4
292,292,24.5,395.6747,17.5
293,293,42.5,383.2805,12.6
294,294,38.1,335.5273,26.4
295,295,21.8,2179.59,18.2
296,296,34.1,1144.4360000000001,12.5
297,297,28.5,567.0349,34.9
298,298,16.7,4082.015,16.7
299,299,46.1,121.7262,33.2
300,300,36.9,156.2442,2.5
301,301,35.7,461.7848,38.0
302,302,23.2,2288.011,16.5
303,303,38.4,439.7105,38.3
304,304,29.4,1626.0829999999999,20.0
305,305,55.0,289.3248,16.2
306,306,50.2,169.9803,14.4
307,307,24.7,3079.89,10.3
308,308,53.0,289.3248,16.4
309,309,19.1,1264.73,30.3
310,310,24.7,1643.499,16.4
311,311,42.2,537.7971,21.3
312,312,78.0,318.5292,35.4
313,313,42.8,104.8101,8.3
314,314,41.6,577.9615,3.7
315,315,27.3,1756.411,15.6
316,316,42.0,250.63099999999997,13.3
317,317,37.5,752.7669,15.6
318,318,49.8,379.5575,7.1
319,319,26.9,272.6783,34.6
320,320,18.6,4197.349,13.5
321,321,37.7,964.7496,16.9
322,322,33.1,187.4823,12.9
323,323,42.5,197.1338,28.6
324,324,31.3,1712.632,12.4
325,325,38.1,488.8193,36.6
326,326,62.1,56.47425,4.1
327,327,36.7,757.3377,3.5
328,328,23.6,1497.713,15.9
329,329,19.2,4197.349,13.6
330,330,12.8,1156.777,32.0
331,331,15.6,4519.69,25.6
332,332,39.6,617.7134,39.8
333,333,38.4,104.8101,7.8
334,334,22.8,1013.341,30.0
335,335,36.5,337.6016,27.3
336,336,35.6,1867.233,5.1
337,337,30.9,600.8604,31.3
338,338,36.3,258.186,31.5
339,339,50.4,329.9747,1.7
340,340,42.9,270.8895,33.6
341,341,37.0,750.0704,13.0
342,342,53.5,90.45606,5.7
343,343,46.6,563.2854,33.5
344,344,41.2,3085.17,34.6
345,345,37.9,185.4296,0.0
346,346,30.8,1712.632,13.2
347,347,11.2,6488.021,17.4
348,348,53.7,259.6607,4.6
349,349,47.0,104.8101,7.8
350,350,42.3,492.2313,13.2
351,351,28.6,2180.245,4.0
352,352,25.7,2674.961,18.4
353,353,31.3,2147.376,4.1
354,354,30.1,1360.139,12.2
355,355,60.7,383.8624,3.8
356,356,45.3,211.4473,10.3
357,357,44.9,338.9679,0.0
358,358,45.1,193.5845,1.1
359,359,24.7,2408.993,5.6
360,360,47.1,87.30221999999998,32.9
361,361,63.3,281.205,41.4
362,362,40.0,967.4,17.1
363,363,48.0,109.9455,32.3
364,364,33.1,614.1394,35.3
365,365,29.5,2261.4320000000002,17.3
366,366,24.8,1801.5439999999999,14.2
367,367,20.9,1828.319,15.0
368,368,43.1,350.8515,18.2
369,369,22.8,2185.1279999999997,20.2
370,370,42.1,289.3248,15.9
371,371,51.7,312.8963,4.1
372,372,41.5,157.6052,33.9
373,373,52.2,274.0144,0.0
374,374,49.5,390.5684,5.4
375,375,23.8,1157.988,21.7
376,376,30.5,1717.193,14.7
377,377,56.8,49.66105,3.9
378,378,37.4,587.8877,37.3
379,379,69.7,292.9978,0.0
380,380,53.3,289.3248,14.1
381,381,47.3,132.5469,8.0
382,382,29.3,3529.564000000001,16.3
383,383,40.3,506.1144,29.1
384,384,12.9,4066.587,16.1
385,385,46.6,82.88643,18.3
386,386,55.3,185.4296,0.0
387,387,25.6,2103.555,16.2
388,388,27.3,2251.938,10.4
389,389,67.7,122.3619,40.9
390,390,38.6,377.8302,32.8
391,391,31.3,1939.749,6.2
392,392,35.3,443.80199999999996,42.7
393,393,40.3,967.4,16.9
394,394,24.7,4136.271,32.6
395,395,42.5,512.5487,21.2
396,396,31.9,918.6357,37.1
397,397,32.2,1164.838,13.1
398,398,23.0,1717.193,14.7
399,399,37.3,170.1289,12.7
400,400,35.5,482.7581,26.8
401,401,27.7,2175.03,7.6
402,402,28.5,187.4823,12.7
403,403,39.7,161.942,30.9
404,404,41.2,289.3248,16.4
405,405,37.2,130.9945,23.0
406,406,40.5,372.1386,1.9
407,407,22.3,2408.993,5.2
408,408,28.1,2175.744,18.5
409,409,15.4,4082.015,13.7
410,410,50.0,90.45606,5.6
411,411,40.6,390.9696,18.8
412,412,52.5,104.8101,8.1
413,413,63.9,90.45606,6.5
